data,lesao, em_campo, doença
1-5-1854,0,95,105
1-6-1854,0,40,95
1-7-1854,0,140,520
1-8-1854,20,150,800
1-9-1854,220,230,740
1-10-1854,305,310,600
1-11-1854,480,290,820
1-12-1854,295,310,1100
1-1-1855,230,460,1440
1-2-1855,180,520,1270
1-3-1855,155,350,935
1-4-1855,195,195,560
1-5-1855,180,155,550
1-6-1855,330,130,650
1-7-1855,260,130,430
1-8-1855,290,110,490
1-9-1855,355,100,290
1-10-1855,135,95,245
1-11-1855,100,140,325
1-12-1855,40,120,215
1-1-1856,0,160,160
1-2-1856,0,100,100
1-3-1856,0,125,90
